Zielobjekt,Baustein,Anforderung,Anforderungs-Typ,Umsetzungsgrad,Umsetzung,Richtlinie,Verantwortlicher
GB002 Produktionsgebäude Beuel,INF.1 Allgemeines Gebäude,INF.1.A16 Vermeidung von Lagehinweisen auf schützenswerte Gebäudeteile,Standard,Entbehrlich,Innere Gebäudebereiche sind auf Grund der baulichen Ausführung von außen nicht einsehbar,,Leiter Haustechnik
GB002 Produktionsgebäude Beuel,INF.1 Allgemeines Gebäude,INF.1.A17 Baulicher Rauchschutz,Standard,Ja,Die einzelnen Produktionsbereiche sind durch automatische Rauchschutztüren getrennt,,Leiter Haustechnik
GB002 Produktionsgebäude Beuel,INF.1 Allgemeines Gebäude,INF.1.A18 Brandschutzbegehungen,Standard,Ja,Im Rahmen der Erfüllung der Anforderungen des Arbeitsschutzgesetzes werden regelmäßige Brandschutzbegehungen und Evakuierungsübungen durchgeführt.,,Vorgesetzte
GB002 Produktionsgebäude Beuel,INF.1 Allgemeines Gebäude,INF.1.A19 Frühzeitige Information des Brandschutzbeauftragten,Standard,Ja,Der Brandschutzbeauftragte ist zu den regelmäßigen Baubesprechungen eingeladen.,,Leiter Haustechnik
GB002 Produktionsgebäude Beuel,INF.1 Allgemeines Gebäude,INF.1.A20 Alarmierungsplan und Brandschutzübungen,Standard,Ja,Ein Alarmierungsplan sowie ein Flucht- und Rettungsplan sind erstellt und kommuniziert. Regelmäßige Brandschutz- und Evakuierungsübungen werden mit allen Mitarbeitern durchgeführt. ,,Leiter Haustechnik
GB002 Produktionsgebäude Beuel,INF.1 Allgemeines Gebäude,INF.1.A21 Unabhängige elektrische Versorgungsstränge,Erhöht,Ja,Die Produktionseinrichtungen sind über eine zweite Zuführung mit der Stromversorgung verbunden und an die unterbrechungsfreie Stromversorgung angeschlossen. ,,Leiter Informationstechnik
GB002 Produktionsgebäude Beuel,INF.1 Allgemeines Gebäude,INF.1.A22 Sichere Türen und Fenster,Erhöht,Ja,"Türen, Fenster und Tore sind gemäß dem Schutzzonenkonzept ausgeführt. Es wird regelmäßig überprüft ob alle Türen und Fenster den Anforderungen genügen.",Schutzzonenkonzept,Leiter Haustechnik
GB002 Produktionsgebäude Beuel,INF.1 Allgemeines Gebäude,INF.1.A23 Bildung von Sicherheitszonen,Erhöht,Ja,Sicherheitszonen sind im Schutzzonenkonzept festgelegt.,Schutzzonenkonzept,Leiter Haustechnik
GB002 Produktionsgebäude Beuel,INF.1 Allgemeines Gebäude,INF.1.A24 Selbsttätige Entwässerung,Erhöht,Ja,Die verbaute Klimatechnik verfügt über selbständige Entwässerungseinrichtungen.,,Leiter Haustechnik
GB002 Produktionsgebäude Beuel,INF.1 Allgemeines Gebäude,INF.1.A25 Geeignete Standortauswahl,Erhöht,Ja,Gefährdungsanalyse für die Standorte wurde durchgeführt.,,Leiter Haustechnik
GB002 Produktionsgebäude Beuel,INF.1 Allgemeines Gebäude,INF.1.A26 Pförtner- oder Sicherheitsdienst,Erhöht,Ja,Es gelten die Regelungen zu den Sicherheitszonen und zur Vergabe der Zutrittsberechtigungen. Eine Besucherregelung ist in Kraft. Außerhalb der Betriebszeiten ist ein Sicherheitsdienst eingesetzt.,Schutzzonenkonzept,Leiter Haustechnik
GB002 Produktionsgebäude Beuel,INF.1 Allgemeines Gebäude,INF.1.A27 Einbruchsschutz,Erhöht,Ja,"Alle Fenster, Türen und Tore sind an die Einbruchmeldeanlage (EMA) angeschlossen. Die Räume sind mit Bewegungsmeldern ausgestattet. Die EMA und die Bewegungsmelder sind bei einem Sicherheitsdienst aufgeschaltet. Die Regelungen zum Einbruchschutz sind den Mitarbeitern kommuniziert.",Schutzzonenkonzept,Leiter Haustechnik
GB002 Produktionsgebäude Beuel,INF.1 Allgemeines Gebäude,INF.1.A28 Klimatisierung für Menschen,Erhöht,Ja,Die Bereiche der Produktion sind mit Zu- und Abluftsystemen ausgestattet.,,Leiter Haustechnik
GB002 Produktionsgebäude Beuel,INF.1 Allgemeines Gebäude,INF.1.A29 Organisatorische Vorgaben für die Gebäudereinigung,Erhöht,Ja,Die Dienstleisterverträge beinhalten eine Verpflichtung des Dienstleister zur Information und Verpflichtung seiner Mitarbeiter zur Einhaltung der Vorgaben zur Informationssicherheit im Hause RECPLAST. Die Verpflichtungserklärungen werden regelmäßig überprüft (bestehen und Einhaltung). In sensiblen Bereichen werden die Gebäudereiniger durch Mitarbeiter der RECPLAST begleitet.,Richtlinie Outsourcing,Leiter Haustechnik
GB002 Produktionsgebäude Beuel,INF.1 Allgemeines Gebäude,INF.1.A30 Auswahl eines geeigneten Gebäudes,Erhöht,Ja,Vor Auswahl der Gebäude wurde eine Gefährdungsanalyse durchgeführt.,,Leiter Haustechnik
GB002 Produktionsgebäude Beuel,INF.1 Allgemeines Gebäude,INF.1.A31 Auszug aus Gebäuden,Erhöht,Ja,Aktuelles Assetregister liegt vor,,Informationssicherheitsbeauftragter
GB002 Produktionsgebäude Beuel,INF.1 Allgemeines Gebäude,INF.1.A32 Brandschott-Kataster,Erhöht,Teilweise,Ein Kataster ist aktuell in Vorbereitung,,Leiter Haustechnik
GB002 Produktionsgebäude Beuel,INF.1 Allgemeines Gebäude,INF.1.A33 Anordnung schützenswerter Gebäudeteile,Erhöht,Entbehrlich,Gebäude befindet sich nicht in exponierter Lage,,
GB002 Produktionsgebäude Beuel,INF.1 Allgemeines Gebäude,INF.1.A34 Gefahrenmeldeanlage,Erhöht,Ja,EMA und BMA installiert,,Leiter Haustechnik
R016 Besprechungsraum,"INF.10 Besprechungs-, Veranstaltungs- und Schulungsräume","INF.10.A1 Sichere Nutzung von Besprechungs-, Veranstaltungs- und Schulungsräumen",Basis,Ja,Regelungen zur Einrichtung bzw. Ausstattung und zur Nutzung der Besprechungsräume finden sich im Schutzzonenkonzept beinhaltet. Die Besucherrichtlinie regelt den Umgang mit Besuchern und die Nutzung mitgebrachter Devices.,Schutzzonenkonzept,Mitarbeiter
R016 Besprechungsraum,"INF.10 Besprechungs-, Veranstaltungs- und Schulungsräume",INF.10.A2 Beaufsichtigung von Besuchern,Basis,Ja,Die Besucherrichtlinie regelt den Umgang mit Besuchern. Besucher dürfen sich nicht unbeaufsichtigt im Informationsverbund bewegen.,Besucherrichtlinie,
R016 Besprechungsraum,"INF.10 Besprechungs-, Veranstaltungs- und Schulungsräume",INF.10.A3 Geschlossene Fenster und Türen,Basis,Ja,Fenster und Türen sind außerhalb der Geschäftszeiten geschlossen. Überprüfung erfolgt durch den Sicherheitsdienst.,Schutzzonenkonzept,Mitarbeiter
R016 Besprechungsraum,"INF.10 Besprechungs-, Veranstaltungs- und Schulungsräume","INF.10.A4 Planung von Besprechungs-, Veranstaltungs- und Schulungsräumen",Standard,Ja,"Besprechungen, Veranstaltungen- und Schulungen finden ausschließlich in dafür vorgesehenen Räumen, im Bereich des Empfangs, im Erdgeschoss des Verwaltungsgebäudes statt. Dieser Bereich ist getrennt von den anderen Einrichtungen.",Schutzzonenkonzept,Mitarbeiter
R016 Besprechungsraum,"INF.10 Besprechungs-, Veranstaltungs- und Schulungsräume",INF.10.A5 Fliegende Verkabelungen,Standard,Ja,Stromanschlüsse befinden sich ebenso wir die Anschlüsse für die TK und IT in den Besprechungstischen.,Richtline zur IT- und Strom-Verkabelung ,Haustechnik
R016 Besprechungsraum,"INF.10 Besprechungs-, Veranstaltungs- und Schulungsräume",INF.10.A6 Einrichtung sicherer Netzzugänge,Standard,Ja,Der Einsatz mitgebrachter Devices ist untersagt. Die Herstellung einer Verbindung mit Datennetz ist nicht möglich.,Besucherrichtlinie,Mitarbeiter
R016 Besprechungsraum,"INF.10 Besprechungs-, Veranstaltungs- und Schulungsräume",INF.10.A7 Sichere Konfiguration von Schulungs- und Präsentationsrechnern,Standard,Ja,"Die Schulungs- und Präsentationsrechner sind mit einer Minimalkonfiguration ausgerüstet. 
Zugriffe auf Systeme und Anwendungen ist durch die Richtlinie Zugangs- und Zugriffsberechtigungen reglementiert.",Berechtigungskonzept,Leiter Informationstechnik
R016 Besprechungsraum,"INF.10 Besprechungs-, Veranstaltungs- und Schulungsräume",INF.10.A8 Erstellung eines Nutzungsnachweises für Räume,Standard,Ja,"Die Verwaltung der Besprechungs-, Veranstaltungs- und Schulungsräume erfolgt zentral über einen Kalender. Die Kalendereinträge werden nach 3 Monaten gelöscht.",,Haustechnik
R016 Besprechungsraum,"INF.10 Besprechungs-, Veranstaltungs- und Schulungsräume",INF.10.A9 Zurücksetzen von Schulungs- und Präsentationsrechnern,Erhöht,Entbehrlich,Auf Grund des Schutzbedarfs der Räume entbehrlich.,,
R016 Besprechungsraum,"INF.10 Besprechungs-, Veranstaltungs- und Schulungsräume",INF.10.A10 Mitführungsverbot von Mobiltelefonen,Erhöht,Entbehrlich,Schutzbedarf der Besprechungsräume ,,
R017 Besprechungsraum,"INF.10 Besprechungs-, Veranstaltungs- und Schulungsräume","INF.10.A1 Sichere Nutzung von Besprechungs-, Veranstaltungs- und Schulungsräumen",Basis,Ja,Regelungen zur Einrichtung bzw. Ausstattung und zur Nutzung der Besprechungsräume finden sich im Schutzzonenkonzept beinhaltet. Die Besucherrichtlinie regelt den Umgang mit Besuchern und die Nutzung mitgebrachter Devices.,Schutzzonenkonzept,Mitarbeiter
R017 Besprechungsraum,"INF.10 Besprechungs-, Veranstaltungs- und Schulungsräume",INF.10.A2 Beaufsichtigung von Besuchern,Basis,Ja,Die Besucherrichtlinie regelt den Umgang mit Besuchern. Besucher dürfen sich nicht unbeaufsichtigt im Informationsverbund bewegen.,Besucherrichtlinie,
R017 Besprechungsraum,"INF.10 Besprechungs-, Veranstaltungs- und Schulungsräume",INF.10.A3 Geschlossene Fenster und Türen,Basis,Ja,Fenster und Türen sind außerhalb der Geschäftszeiten geschlossen. Überprüfung erfolgt durch den Sicherheitsdienst.,Schutzzonenkonzept,Mitarbeiter
R017 Besprechungsraum,"INF.10 Besprechungs-, Veranstaltungs- und Schulungsräume","INF.10.A4 Planung von Besprechungs-, Veranstaltungs- und Schulungsräumen",Standard,Ja,"Besprechungen, Veranstaltungen- und Schulungen finden ausschließlich in dafür vorgesehenen Räumen, im Bereich des Empfangs, im Erdgeschoss des Verwaltungsgebäudes statt. Dieser Bereich ist getrennt von den anderen Einrichtungen.",Schutzzonenkonzept,Mitarbeiter
R017 Besprechungsraum,"INF.10 Besprechungs-, Veranstaltungs- und Schulungsräume",INF.10.A5 Fliegende Verkabelungen,Standard,Ja,Stromanschlüsse befinden sich ebenso wir die Anschlüsse für die TK und IT in den Besprechungstischen.,Richtline zur IT- und Strom-Verkabelung ,Haustechnik
R017 Besprechungsraum,"INF.10 Besprechungs-, Veranstaltungs- und Schulungsräume",INF.10.A6 Einrichtung sicherer Netzzugänge,Standard,Ja,Der Einsatz mitgebrachter Devices ist untersagt. Die Herstellung einer Verbindung mit Datennetz ist nicht möglich.,Besucherrichtlinie,Mitarbeiter
R017 Besprechungsraum,"INF.10 Besprechungs-, Veranstaltungs- und Schulungsräume",INF.10.A7 Sichere Konfiguration von Schulungs- und Präsentationsrechnern,Standard,Ja,"Die Schulungs- und Präsentationsrechner sind mit einer Minimalkonfiguration ausgerüstet. 
Zugriffe auf Systeme und Anwendungen ist durch die Richtlinie Zugangs- und Zugriffsberechtigungen reglementiert.",Berechtigungskonzept,Leiter Informationstechnik
R017 Besprechungsraum,"INF.10 Besprechungs-, Veranstaltungs- und Schulungsräume",INF.10.A8 Erstellung eines Nutzungsnachweises für Räume,Standard,Ja,"Die Verwaltung der Besprechungs-, Veranstaltungs- und Schulungsräume erfolgt zentral über einen Kalender. Die Kalendereinträge werden nach 3 Monaten gelöscht.",,Haustechnik
R017 Besprechungsraum,"INF.10 Besprechungs-, Veranstaltungs- und Schulungsräume",INF.10.A9 Zurücksetzen von Schulungs- und Präsentationsrechnern,Erhöht,Entbehrlich,Auf Grund des Schutzbedarfs der Räume entbehrlich.,,
R017 Besprechungsraum,"INF.10 Besprechungs-, Veranstaltungs- und Schulungsräume",INF.10.A10 Mitführungsverbot von Mobiltelefonen,Erhöht,Entbehrlich,Schutzbedarf der Besprechungsräume ,,
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A1 Festlegung von Anforderungen,Basis,Teilweise,Die Dokumentation der Anforderungen an den Aufbau und die Infrastruktur eines Serverraums liegt nicht umfänglich vor. Die IST-Erhebung ist geplant.,,Leiter Informationstechnik
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A2 Bildung von Brandabschnitten,Basis,Ja,Die Serverräume sind als eigene Brandabschnitte ausgelegt.,Schutzzonenkonzept,IT-Betrieb
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A3 Einsatz einer unterbrechungsfreien Stromversorgung,Basis,Ja,"Die IT-Systeme in den Serverräumen sind über eine ausreichend dimensionierte USV, abgesichert. Bei unerwartetem Ausfall der Energieversorgung ist ein geordnetes Herunterfahren möglich. Die vom Hersteller vorgegebenen Wartungsintervalle werden eingehalten.",,IT-Betrieb
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A4 Notabschaltung der Stromversorgung,Basis,Ja,Not-Ausschalter ist vorhanden und gegen versehentliche Betätigung geschützt.,,IT-Betrieb
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A5 Einhaltung der Lufttemperatur und -feuchtigkeit,Basis,Ja,Klimaanlage in den Serverräumen. Temperaturüberwachung vorhanden. Alarme gegeben an den Bereitschaftsdienst IT-Betrieb (24/7).,,IT-Betrieb
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A6 Zutrittskontrolle,Basis,Ja,Der Zutritt zu den Serverraum folgt strikten Zutrittsregelungen. Die Zahl der Berechtigten ist begrenzt. Nichtberechtigte Personen dürfen nur in Begleitung in den Serverraum und arbeiten unter Aufsicht. Es wird ein Wartungs- und Besucherbuch geführt.,Schutzzonenkonzept,IT-Betrieb
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A7 Verschließen und Sichern,Basis,Ja,Der Serverraum ist verschlossen  verfügt nicht über Fenster. Nur Zutrittsberechtigte verfügen über ein Zutrittsmedium.,Schutzzonenkonzept,IT-Betrieb
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A8 Einsatz einer Brandmeldeanlage,Basis,Ja,Rauchmelder sind verbaut. Melder sind an die BMA angeschlossen. Die BMA ist bei der örtlichen Feuerwehr aufgeschaltet,Brandschutzkonzept,Leiter Haustechnik
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A9 Einsatz einer Lösch- oder Brandvermeidungsanlage,Basis,Ja,Die vorhandene Anlage wird regelmäßig geprüft und entspricht dem Stand der Technik.  Handfeuerlöscher finden sich vor den Serverräumen. Die Handhabung wir im Rahmen von Brandschutzübungen regelmäßig erläutert.,Brandschutzkonzept,Leiter Haustechnik
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A10 Inspektion und Wartung der Infrastruktur,Basis,Nein,Wartungsarbeiten sind nicht dokumentiert,,Leiter Informationstechnik
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A11 Automatisierte überwachung der Infrastruktur,Basis,Ja,"Die Serverräume sind bezogen auf Temperatur (Klima), Stromversorgung, Zutritt und Rauch/Feuer in der Überwachung (24/7) durch die Bereitschaft des IT-Betriebs. Wasserführende Leitungen gibt es in den Räumen nicht. ",,IT-Betrieb
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A12 Entwurf und Umsetzung eines Perimeterschutzes für das Rechenzentrum,Standard,Ja,Das Schutzzonenkonzept legt Vorkehrungen zur Platzierung und zum Schutz der Serverräume fest.,Schutzzonenkonzept,IT-Betrieb
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A13 Planung und Installation von Gefahrenmeldeanlagen,Standard,Ja,EMA und BMA installiert.,,Leiter Haustechnik
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A14 Einsatz einer Netzersatzanlage,Standard,Nein,Die Recplast verfügt über keine eigene Netzersatzanlage.,,Leiter Haustechnik
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A15 überspannungsschutzeinrichtung,Standard,Ja,Überspannungsschutz ist für alle Gebäude installiert. Ein Wartungsvertrag sichert die regelmäßige Wartung der Einrichtungen.,,Leiter Haustechnik
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A16 Klimatisierung im Rechenzentrum,Standard,Ja,Die Serverräume sind mit Klimatechnik ausgestattet. Die Anlage ist redundant ausgelegt. Überschreitung der Grenzwerte für Temperatur und Feuchtigkeit der Luft einen lösen einen  Alarm beim Bereitschaftsdienst des IT-Betriebs aus.,,IT-Betrieb
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A17 Brandfrüherkennung,Standard,Ja,"Die Serverräume sind bezogen auf Temperatur (Klima), Stromversorgung, Zutritt und Rauch/Feuer in der Überwachung (24/7) durch die Bereitschaft des IT-Betriebs. ",,IT-Betrieb
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A18 Schutz vor Wasseraustritt,Standard,Entbehrlich,Es gibt keine wasser- bzw. Flüssigkeitsführenden Leitungen in den Serverräumen.,,
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A19 Durchführung von Funktionstests der technischen Infrastruktur,Standard,Teilweise,Geplante Funktionstests wurden nicht durchgeführt.,,IT-Betrieb
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A20 Regelmäßige Aktualisierungen der Infrastruktur- und Baupläne,Standard,Teilweise,Die dokumentierten Pläne sind nicht aktuell.,,
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A21 Ausweichrechenzentrum,Erhöht,Nein,Es existiert kein Ausweichrechenzentrum.,,Leiter Informationstechnik
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A22 Durchführung von Staubschutzmaßnahmen,Erhöht,Entbehrlich,Ausbaumaßnahmen sind nicht geplant.,,
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A23 Sicher strukturierte Verkabelung im Rechenzentrum,Erhöht,Ja,Die Verkabelung ist nach dem Stand der Technik ausgeführt.,Richtline zur IT- und Strom-Verkabelung ,IT-Betrieb
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A24 Einsatz von Videoüberwachungsanlagen,Erhöht,Ja,Die Serverräume sind kameraüberwacht. Die Aufzeichnungen werden 3 Monate vorgehalten und nur bei Bedarf ausgewertet,Schutzzonenkonzept,Leiter Informationstechnik
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A25 Redundante Auslegung von unterbrechungsfreien Stromversorgungen,Erhöht,Nein,Aus Kostengründen wurde auf den Aufbau einer redundanten USV verzichtet.,,
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A26 Redundante Auslegung von Netzersatzanlagen,Erhöht,Nein,Aus Kostengründen wurde auf den Aufbau einer redundanten NEA verzichtet.,,
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A27 Durchführung von Alarmierungs- und Brandschutzübungen,Erhöht,Ja,Ein Alarmierungsplan sowie ein Flucht- und Rettungsplan sind erstellt und kommuniziert. Regelmäßige Brandschutz- und Evakuierungsübungen werden mit allen Mitarbeitern durchgeführt. ,,Leiter Haustechnik
R002 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A28 Einsatz von höherwertigen Gefahrenmeldeanlagen,Erhöht,Teilweise,"Die in den Gebäuden installierte EMA ist eine EMA der Klasse B, dies entspricht einer ""mittleren Empfindlichkeit)",,Leiter Haustechnik
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A1 Festlegung von Anforderungen,Basis,Teilweise,Die Dokumentation der Anforderungen an den Aufbau und die Infrastruktur eines Serverraums liegt nicht umfänglich vor. Die IST-Erhebung ist geplant.,,Leiter Informationstechnik
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A2 Bildung von Brandabschnitten,Basis,Ja,Die Serverräume sind als eigene Brandabschnitte ausgelegt.,Schutzzonenkonzept,IT-Betrieb
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A3 Einsatz einer unterbrechungsfreien Stromversorgung,Basis,Ja,"Die IT-Systeme in den Serverräumen sind über eine ausreichend dimensionierte USV, abgesichert. Bei unerwartetem Ausfall der Energieversorgung ist ein geordnetes Herunterfahren möglich. Die vom Hersteller vorgegebenen Wartungsintervalle werden eingehalten.",,IT-Betrieb
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A4 Notabschaltung der Stromversorgung,Basis,Ja,Not-Ausschalter ist vorhanden und gegen versehentliche Betätigung geschützt.,,IT-Betrieb
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A5 Einhaltung der Lufttemperatur und -feuchtigkeit,Basis,Ja,Klimaanlage in den Serverräumen. Temperaturüberwachung vorhanden. Alarme gegeben an den Bereitschaftsdienst IT-Betrieb (24/7).,,IT-Betrieb
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A6 Zutrittskontrolle,Basis,Ja,Der Zutritt zu den Serverraum folgt strikten Zutrittsregelungen. Die Zahl der Berechtigten ist begrenzt. Nichtberechtigte Personen dürfen nur in Begleitung in den Serverraum und arbeiten unter Aufsicht. Es wird ein Wartungs- und Besucherbuch geführt.,Schutzzonenkonzept,IT-Betrieb
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A7 Verschließen und Sichern,Basis,Ja,Der Serverraum ist verschlossen  verfügt nicht über Fenster. Nur Zutrittsberechtigte verfügen über ein Zutrittsmedium.,Schutzzonenkonzept,IT-Betrieb
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A8 Einsatz einer Brandmeldeanlage,Basis,Ja,Rauchmelder sind verbaut. Melder sind an die BMA angeschlossen. Die BMA ist bei der örtlichen Feuerwehr aufgeschaltet,Brandschutzkonzept,Leiter Haustechnik
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A9 Einsatz einer Lösch- oder Brandvermeidungsanlage,Basis,Ja,Die vorhandene Anlage wird regelmäßig geprüft und entspricht dem Stand der Technik.  Handfeuerlöscher finden sich vor den Serverräumen. Die Handhabung wir im Rahmen von Brandschutzübungen regelmäßig erläutert.,Brandschutzkonzept,Leiter Haustechnik
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A10 Inspektion und Wartung der Infrastruktur,Basis,Nein,Wartungsarbeiten sind nicht dokumentiert,,Leiter Informationstechnik
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A11 Automatisierte überwachung der Infrastruktur,Basis,Ja,"Die Serverräume sind bezogen auf Temperatur (Klima), Stromversorgung, Zutritt und Rauch/Feuer in der Überwachung (24/7) durch die Bereitschaft des IT-Betriebs. Wasserführende Leitungen gibt es in den Räumen nicht. ",,IT-Betrieb
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A12 Entwurf und Umsetzung eines Perimeterschutzes für das Rechenzentrum,Standard,Ja,Das Schutzzonenkonzept legt Vorkehrungen zur Platzierung und zum Schutz der Serverräume fest.,Schutzzonenkonzept,IT-Betrieb
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A13 Planung und Installation von Gefahrenmeldeanlagen,Standard,Ja,EMA und BMA installiert.,,Leiter Haustechnik
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A14 Einsatz einer Netzersatzanlage,Standard,Nein,Die Recplast verfügt über keine eigene Netzersatzanlage.,,Leiter Haustechnik
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A15 überspannungsschutzeinrichtung,Standard,Ja,Überspannungsschutz ist für alle Gebäude installiert. Ein Wartungsvertrag sichert die regelmäßige Wartung der Einrichtungen.,,Leiter Haustechnik
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A16 Klimatisierung im Rechenzentrum,Standard,Ja,Die Serverräume sind mit Klimatechnik ausgestattet. Die Anlage ist redundant ausgelegt. Überschreitung der Grenzwerte für Temperatur und Feuchtigkeit der Luft einen lösen einen  Alarm beim Bereitschaftsdienst des IT-Betriebs aus.,,IT-Betrieb
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A17 Brandfrüherkennung,Standard,Ja,"Die Serverräume sind bezogen auf Temperatur (Klima), Stromversorgung, Zutritt und Rauch/Feuer in der Überwachung (24/7) durch die Bereitschaft des IT-Betriebs. ",,IT-Betrieb
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A18 Schutz vor Wasseraustritt,Standard,Entbehrlich,Es gibt keine wasser- bzw. Flüssigkeitsführenden Leitungen in den Serverräumen.,,
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A19 Durchführung von Funktionstests der technischen Infrastruktur,Standard,Teilweise,Geplante Funktionstests wurden nicht durchgeführt.,,IT-Betrieb
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A20 Regelmäßige Aktualisierungen der Infrastruktur- und Baupläne,Standard,Teilweise,Die dokumentierten Pläne sind nicht aktuell.,,
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A21 Ausweichrechenzentrum,Erhöht,Nein,Es existiert kein Ausweichrechenzentrum.,,Leiter Informationstechnik
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A22 Durchführung von Staubschutzmaßnahmen,Erhöht,Entbehrlich,Ausbaumaßnahmen sind nicht geplant.,,
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A23 Sicher strukturierte Verkabelung im Rechenzentrum,Erhöht,Ja,Die Verkabelung ist nach dem Stand der Technik ausgeführt.,Richtline zur IT- und Strom-Verkabelung ,IT-Betrieb
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A24 Einsatz von Videoüberwachungsanlagen,Erhöht,Ja,Die Serverräume sind kameraüberwacht. Die Aufzeichnungen werden 3 Monate vorgehalten und nur bei Bedarf ausgewertet,Schutzzonenkonzept,Leiter Informationstechnik
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A25 Redundante Auslegung von unterbrechungsfreien Stromversorgungen,Erhöht,Nein,Aus Kostengründen wurde auf den Aufbau einer redundanten USV verzichtet.,,
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A26 Redundante Auslegung von Netzersatzanlagen,Erhöht,Nein,Aus Kostengründen wurde auf den Aufbau einer redundanten NEA verzichtet.,,
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A27 Durchführung von Alarmierungs- und Brandschutzübungen,Erhöht,Ja,Ein Alarmierungsplan sowie ein Flucht- und Rettungsplan sind erstellt und kommuniziert. Regelmäßige Brandschutz- und Evakuierungsübungen werden mit allen Mitarbeitern durchgeführt. ,,Leiter Haustechnik
R009 Serverraum,INF.2 Rechenzentrum sowie Serverraum,INF.2.A28 Einsatz von höherwertigen Gefahrenmeldeanlagen,Erhöht,Teilweise,"Die in den Gebäuden installierte EMA ist eine EMA der Klasse B, dies entspricht einer ""mittleren Empfindlichkeit)",,Leiter Haustechnik
GB001 Verwaltungsgebäude Bad Godesberg,INF.3 Elektrotechnische Verkabelung,INF.3.A1 Auswahl geeigneter Kabeltypen,Basis,Ja,Die verlegten Kabel entsprechen den Vorgaben der einschlägigen Normen.,Richtline zur IT- und Strom-Verkabelung ,Leiter Haustechnik
