Zielobjekt,Baustein,Anforderung,Maßnahme
S013 Windows-Update-Server,SYS.1.1 Allgemeiner Server,SYS.1.1.A27,Es wird ein Intrusion Detection System beschafft.
S013 Windows-Update-Server,SYS.1.1 Allgemeiner Server,SYS.1.1.A28,Da der Server virtuell ist wird auf ein redundanten Server verzichtet. Es sollen jedoch regelmäßige Images der virtuellen Server erstellt werden und eine Dokumentation zum Transferieren der virtuellen Maschine erstellt werden.
S013 Windows-Update-Server,SYS.1.1 Allgemeiner Server,SYS.1.1.A32,Die Kennwörter für kritische User werden aufgesplittet.
S013 Windows-Update-Server,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A11,Es wird ein Intrusion Detection System beschafft.
S013 Windows-Update-Server,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A12,Da der Server virtuell ist wird auf ein redundanten Server verzichtet. Es sollen jedoch regelmäßige Images der virtuellen Server erstellt werden und eine Dokumentation zum Transferieren der virtuellen Maschine erstellt werden.
S013 Windows-Update-Server,SYS.1.2.2 Allgemeiner Server,SYS.1.2.2.A13,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S014 Linux-Update-Server,SYS.1.1 Allgemeiner Server,SYS.1.1.A26,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S014 Linux-Update-Server,SYS.1.1 Allgemeiner Server,SYS.1.1.A27,Es wird ein Intrusion Detection System beschafft.
S014 Linux-Update-Server,SYS.1.1 Allgemeiner Server,SYS.1.1.A28,Da der Server virtuell ist wird auf ein redundanten Server verzichtet. Es sollen jedoch regelmäßige Images der virtuellen Server erstellt werden und eine Dokumentation zum Transferieren der virtuellen Maschine erstellt werden.
S014 Linux-Update-Server,SYS.1.1 Allgemeiner Server,SYS.1.1.A32,Die Kennwörter für kritische User werden aufgesplittet.
S015 DB-Server fürs Systemmanagement,SYS.1.1 Allgemeiner Server,SYS.1.1.A26,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S015 DB-Server fürs Systemmanagement,SYS.1.1 Allgemeiner Server,SYS.1.1.A27,Es wird ein Intrusion Detection System beschafft.
S015 DB-Server fürs Systemmanagement,SYS.1.1 Allgemeiner Server,SYS.1.1.A28,"Die Datensicherungen werden zentral abgespeichert, so dass jederzeit ein Wiedereinspielen der Datenbank möglich ist. Deshalb wird auf eine Redundanz verzichtet."
S015 DB-Server fürs Systemmanagement,SYS.1.1 Allgemeiner Server,SYS.1.1.A32,Die Kennwörter für kritische User werden aufgesplittet.
S015 DB-Server fürs Systemmanagement,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A11,Es wird ein Intrusion Detection System beschafft.
S015 DB-Server fürs Systemmanagement,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A12,"Die Datensicherungen werden zentral abgespeichert, so dass jederzeit ein Wiedereinspielen der Datenbank möglich ist. Deshalb wird auf eine Redundanz verzichtet."
S015 DB-Server fürs Systemmanagement,SYS.1.2.2 Windows Server 2012,SYS.1.2.2.A13,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S016 Cloudserver,SYS.1.1 Allgemeiner Server,SYS.1.1.A26,Es wird eine Zwei-Faktor-Authentisierung angeschafft.
S016 Cloudserver,SYS.1.1 Allgemeiner Server,SYS.1.1.A27,Es wird ein Intrusion Detection System beschafft.
S016 Cloudserver,SYS.1.1 Allgemeiner Server,SYS.1.1.A28,"Es wird geprüft, ob die Kosten für einen redundanten Server den Wert der Maßnahme überschreiten."
S016 Cloudserver,SYS.1.1 Allgemeiner Server,SYS.1.1.A32,Die Kennwörter für kritische User werden aufgesplittet.
